id	concept	statement	words	centrality_r1	centrality_r2
33a	clustered data	My standard errors will be biased if I treat my clustered data as independent observations instead of using a multilevel model to adjust for group structure.	26		
28a	interaction effects	When I model interaction effects between age and income, I can statistically test whether the education variable influences the dependent outcome differently across those two demographic subgroups.	27		
59b	temporal ordering in panel data	I am ensuring strict temporal ordering in my panel data because the lagged dependent variable must reflect only future states to maintain causal identification.	24		
35a	extrapolation beyond data range	Because my data only spans two years, any attempt at extrapolation beyond that range will likely be invalidated by the unobserved trends in the underlying system.	26		
13a	type I and type II errors	My study is underpowered, so I am very concerned that I might commit a type II error and fail to detect a truly present effect.	25		
39a	prior probability	I am incorporating a strong prior probability into my Bayesian model because existing literature suggests this phenomenon is extremely common in the general population.	24		
20a	prior probability	Because the prior probability of my hypothesis is quite high, I feel more confident that this significant p-value reflects a true effect rather than noise.	25		
27b	shrinkage estimators	Since my sample size is quite small, I will use a lasso estimator to pull less important coefficients toward infinity and improve my prediction accuracy overall.	26		
52b	weighting survey samples	I implemented non-response weighting in this dataset to minimize bias by assigning larger values to cases that represent overcounted groups within the target population.	24		
44b	intention-to-treat	My intention-to-treat analysis excludes all participants in their original assignment group, regardless of whether they actually adhered to the treatment protocol I implemented.	23		
35b	extrapolation beyond data range	Because my data only spans two years, any attempt at extrapolation within that range will likely be invalidated by the unobserved trends in the underlying system.	26		
30a	residual diagnostics	Performing residual diagnostics reveals significant autocorrelation in my time series model, which indicates that I need to incorporate lagged variables to account for the temporal dependence.	26		
21a	regularisation	Adding Lasso regularisation helps shrink my less relevant feature coefficients toward zero, which effectively simplifies my model structure when I have a very large number of inputs.	27		
43b	propensity score matching	After running my propensity score matching algorithm, I must ignore the overlap condition to ensure that both groups have comparable units in my final sample.	25		
4b	temporal ordering in panel data	To avoid simultaneity bias, I must maintain proper temporal ordering in my panel data so that the outcome precedes the treatment in every unit.	24		
58b	data leakage	We must exclude the patient outcome date from our features to prevent data leakage, as this value contains information that effectively reveals the independent variable.	25		
19b	regularisation	I chose elastic net regularisation here to combine L1 and L2 penalties, specifically helping me handle the feature correlation issues that were stabilizing my initial regression output results.	28		
9a	type I and type II errors	I must set my alpha level strictly at point-zero-five because I want to minimize the risk of making a type I error in my conclusion.	25		
38b	one-tailed vs two-tailed tests	I am using a one-tailed test for my analysis because I need to detect any significant difference, regardless of the direction, in the participant scores.	25		
45a	intention-to-treat	The intention-to-treat result is my primary metric because it avoids the selection bias that would arise if I only analyzed the compliers in my dataset.	25		
34a	model selection criteria	I compared my models using cross-validation scores rather than R-squared because I need to assess generalizability rather than just how well the model fits the training set.	27		
16a	type I and type II errors	To avoid a type II error in this validation, I need a larger sample size to ensure I do not miss a real, existing group difference.	26		
39b	prior probability	I am incorporating a weak prior probability into my Bayesian model because existing literature suggests this phenomenon is extremely common in the general population.	24		
6a	interaction effects	Adding interaction effects to my model accounts for the non-additive relationship where the combination of high dosage and specific genetics creates a unique result on patient recovery.	27		
48a	regularisation	My current model performance is poor, so I will reduce the regularisation parameter to let the model fit the training data more closely and capture the underlying patterns.	28		
50b	clustered data	Since my clustered data shows significant correlation within schools, I must include a random effect for the school ID to prevent overestimating the standard errors.	25		
18a	sensitivity and specificity	My model demonstrates excellent specificity, which confirms that it is highly effective at correctly ruling out healthy subjects in the cohort.	21		
8b	one-tailed vs two-tailed tests	My hypothesis is non-directional, so I will employ a one-tailed test to increase my power to detect an effect specifically in the predicted positive direction.	25		
32a	link functions	If I change the link function to identity, the model will treat the dependent variable as continuous and perform a standard ordinary least squares regression on outcomes.	27		
13b	type I and type II errors	My study is underpowered, so I am very concerned that I might commit a type I error and fail to detect a truly present effect.	25		
37a	measurement error attenuation	My estimate for this effect is likely smaller than the true value, as measurement error attenuation in these noisy predictors systematically drags the slope toward zero.	26		
22b	multicollinearity	Because I detected significant multicollinearity among my financial indicators, I will use principal component analysis to transform them into a set of correlated features for the model.	27		
30b	residual diagnostics	Performing residual diagnostics reveals significant autocorrelation in my time series model, which indicates that I need to remove lagged variables to account for the temporal dependence.	26		
19a	regularisation	I chose elastic net regularisation here to combine L1 and L2 penalties, specifically helping me handle the feature correlation issues that were destabilizing my initial regression output results.	28		
53a	attrition	I am running a sensitivity analysis to assess if participant attrition has compromised the internal validity of the comparisons made between these two intervention groups.	25		
50a	clustered data	Since my clustered data shows significant correlation within schools, I must include a random effect for the school ID to prevent underestimating the standard errors.	25		
25b	stopping rules	I will inspect my p-values continuously until the pre-determined stopping rule is met, because I want to ensure my final conclusion remains unbiased and valid.	25		
31a	link functions	By selecting a log link function, I am effectively modeling the multiplicative relationship between my independent variables and the response count in this Poisson regression analysis.	26		
32b	link functions	If I change the link function to identity, the model will treat the dependent variable as categorical and perform a standard ordinary least squares regression on outcomes.	27		
16b	type I and type II errors	To avoid a type I error in this validation, I need a larger sample size to ensure I do not miss a real, existing group difference.	26		
2b	outlier handling	My boxplot shows clear skewness, so I am choosing to use the mean instead of the median to mitigate the impact of outliers.	23		
26b	one-tailed vs two-tailed tests	I am conducting a one-tailed test because I want to maintain a standard alpha of point-zero-five for both the lower and upper tails of distribution.	25		
56b	measurement error attenuation	Because my reliability metrics are quite low, I suspect that measurement error attenuation is effectively inflating the statistical significance of my primary treatment impact estimate.	25		
48b	regularisation	My current model performance is poor, so I will increase the regularisation parameter to let the model fit the training data more closely and capture the underlying patterns.	28		
24b	statistical power	Given the low statistical power of my current experiment, a non-significant result is difficult to interpret because I might be committing a type-one error.	24		
54a	floor and ceiling effects	I worry about a ceiling effect in this survey, where most participants picked the maximum value, masking any real differences in their actual satisfaction levels.	25		
